ENTREZID	SYMBOL	ENSEMBL	GENENAME
100287102	DDX11L1	ENSG00000290825	DEAD/H-box helicase 11 like 1 (pseudogene)
653635	WASH7P	NA	WASP family homolog 7, pseudogene
102466751	MIR6859-1	ENSG00000278267	microRNA 6859-1
100302278	MIR1302-2	ENSG00000284332	microRNA 1302-2
645520	FAM138A	ENSG00000237613	family with sequence similarity 138 member A
79501	OR4F5	ENSG00000186092	olfactory receptor family 4 subfamily F member 5
729737	LOC729737	NA	uncharacterized LOC729737
102725121	DDX11L17	ENSG00000290825	DEAD/H-box helicase 11 like 17 (pseudogene)
102723897	LOC102723897	NA	WAS protein family homolog 9, pseudogene
102465909	MIR6859-2	ENSG00000273874	microRNA 6859-2
102465909	MIR6859-2	ENSG00000288355	microRNA 6859-2
102465909	MIR6859-2	ENSG00000278739	microRNA 6859-2
102465909	MIR6859-2	ENSG00000275449	microRNA 6859-2
102465909	MIR6859-2	ENSG00000278267	microRNA 6859-2
729759	OR4F29	ENSG00000284733	olfactory receptor family 4 subfamily F member 29
100132287	LOC100132287	NA	uncharacterized LOC100132287
105378947	LOC105378947	NA	proline-rich extensin-like protein EPR1
101928626	LOC101928626	ENSG00000230021	uncharacterized LOC101928626
102465432	NA	NA	NA
81399	OR4F16	ENSG00000284662	olfactory receptor family 4 subfamily F member 16
100133331	NA	NA	NA
100288069	LOC100288069	NA	uncharacterized LOC100288069
400728	FAM87B	ENSG00000177757	family with sequence similarity 87 member B
79854	LINC00115	NA	long intergenic non-protein coding RNA 115
643837	LINC01128	ENSG00000228794	long intergenic non-protein coding RNA 1128
284593	FAM41C	ENSG00000230368	family with sequence similarity 41 member C
100130417	LINC02593	ENSG00000223764	long intergenic non-protein coding RNA 2593
148398	SAMD11	ENSG00000187634	sterile alpha motif domain containing 11
26155	NOC2L	ENSG00000188976	NOC2 like nucleolar associated transcriptional repressor
339451	KLHL17	ENSG00000187961	kelch like family member 17
84069	PLEKHN1	ENSG00000187583	pleckstrin homology domain containing N1
84808	PERM1	ENSG00000187642	PPARGC1 and ESRR induced regulator, muscle 1
57801	HES4	ENSG00000188290	hes family bHLH transcription factor 4
9636	ISG15	ENSG00000187608	ISG15 ubiquitin like modifier
375790	AGRN	ENSG00000188157	agrin
105369174	NA	NA	NA
105378948	LOC105378948	NA	uncharacterized LOC105378948
401934	RNF223	ENSG00000237330	ring finger protein 223
54991	C1orf159	ENSG00000131591	chromosome 1 open reading frame 159
254099	LINC01342	ENSG00000223823	long intergenic non-protein coding RNA 1342
406984	MIR200B	ENSG00000207730	microRNA 200b
406983	MIR200A	ENSG00000207607	microRNA 200a
554210	MIR429	ENSG00000198976	microRNA 429
254173	TTLL10	ENSG00000162571	tubulin tyrosine ligase like 10
8784	TNFRSF18	ENSG00000186891	TNF receptor superfamily member 18
7293	TNFRSF4	ENSG00000186827	TNF receptor superfamily member 4
51150	SDF4	ENSG00000078808	stromal cell derived factor 4
126792	B3GALT6	ENSG00000176022	beta-1,3-galactosyltransferase 6
388581	C1QTNF12	ENSG00000184163	C1q and TNF related 12
118424	UBE2J2	ENSG00000160087	ubiquitin conjugating enzyme E2 J2
6339	SCNN1D	ENSG00000162572	sodium channel epithelial 1 subunit delta
116983	ACAP3	ENSG00000131584	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
102465434	MIR6726	ENSG00000278073	microRNA 6726
126789	PUSL1	ENSG00000169972	pseudouridine synthase like 1
54973	INTS11	ENSG00000127054	integrator complex subunit 11
102465435	MIR6727	ENSG00000283712	microRNA 6727
80772	CPTP	ENSG00000224051	ceramide-1-phosphate transfer protein
83756	TAS1R3	ENSG00000169962	taste 1 receptor member 3
1855	DVL1	ENSG00000107404	dishevelled segment polarity protein 1
102466740	MIR6808	ENSG00000284372	microRNA 6808
54587	MXRA8	ENSG00000162576	matrix remodeling associated 8
54998	AURKAIP1	ENSG00000175756	aurora kinase A interacting protein 1
81669	CCNL2	ENSG00000221978	cyclin L2
148413	MRPL20-AS1	ENSG00000224870	MRPL20 antisense RNA 1
55052	MRPL20	ENSG00000242485	mitochondrial ribosomal protein L20
441869	ANKRD65	ENSG00000235098	ankyrin repeat domain 65
643965	TMEM88B	ENSG00000205116	transmembrane protein 88B
102724312	LINC01770	NA	long intergenic non-protein coding RNA 1770
64856	VWA1	ENSG00000179403	von Willebrand factor A domain containing 1
219293	ATAD3C	ENSG00000215915	ATPase family AAA domain containing 3C
83858	ATAD3B	ENSG00000160072	ATPase family AAA domain containing 3B
55210	ATAD3A	ENSG00000197785	ATPase family AAA domain containing 3A
339453	TMEM240	ENSG00000205090	transmembrane protein 240
29101	SSU72	ENSG00000160075	SSU72 homolog, RNA polymerase II CTD phosphatase
643988	FNDC10	ENSG00000228594	fibronectin type III domain containing 10
142678	MIB2	ENSG00000197530	MIB E3 ubiquitin protein ligase 2
8510	MMP23B	ENSG00000189409	matrix metallopeptidase 23B
984	CDK11B	ENSG00000248333	cyclin dependent kinase 11B
728661	SLC35E2B	ENSG00000189339	solute carrier family 35 member E2B
8511	MMP23A	ENSG00000215914	matrix metallopeptidase 23A (pseudogene)
728642	CDK11A	ENSG00000008128	cyclin dependent kinase 11A
9906	SLC35E2A	NA	solute carrier family 35 member E2A (pseudogene)
65220	NADK	ENSG00000008130	NAD kinase
2782	GNB1	ENSG00000078369	G protein subunit beta 1
105378949	GNB1-DT	ENSG00000231050	GNB1 divergent transcript
163688	CALML6	ENSG00000169885	calmodulin like 6
339456	TMEM52	ENSG00000178821	transmembrane protein 52
85452	CFAP74	ENSG00000142609	cilia and flagella associated protein 74
2563	GABRD	ENSG00000187730	gamma-aminobutyric acid type A receptor subunit delta
5590	PRKCZ	ENSG00000067606	protein kinase C zeta
100506504	PRKCZ-AS1	ENSG00000182873	PRKCZ antisense RNA 1
199990	FAAP20	ENSG00000162585	FA core complex associated protein 20
105378592	NA	NA	NA
6497	SKI	ENSG00000157933	SKI proto-oncogene
105378594	NA	NA	NA
79906	MORN1	ENSG00000116151	MORN repeat containing 1
100129534	LOC100129534	ENSG00000269896	small nuclear ribonucleoprotein polypeptide N pseudogene
11079	RER1	ENSG00000157916	retention in endoplasmic reticulum sorting receptor 1
5192	PEX10	ENSG00000157911	peroxisomal biogenesis factor 10
9651	PLCH2	ENSG00000149527	phospholipase C eta 2
9651	PLCH2	ENSG00000276429	phospholipase C eta 2
55229	PANK4	ENSG00000157881	pantothenate kinase 4 (inactive)
55229	PANK4	ENSG00000273494	pantothenate kinase 4 (inactive)
388585	HES5	ENSG00000197921	hes family bHLH transcription factor 5
388585	HES5	ENSG00000273529	hes family bHLH transcription factor 5
115110	TNFRSF14-AS1	NA	TNFRSF14 antisense RNA 1
8764	TNFRSF14	ENSG00000157873	TNF receptor superfamily member 14
8764	TNFRSF14	ENSG00000273936	TNF receptor superfamily member 14
100996583	LOC100996583	ENSG00000228037	uncharacterized LOC100996583
127281	PRXL2B	ENSG00000157870	peroxiredoxin like 2B
127281	PRXL2B	ENSG00000275125	peroxiredoxin like 2B
79258	MMEL1	ENSG00000142606	membrane metalloendopeptidase like 1
79258	MMEL1	ENSG00000277131	membrane metalloendopeptidase like 1
100287898	TTC34	ENSG00000215912	tetratricopeptide repeat domain 34
100287898	TTC34	ENSG00000275571	tetratricopeptide repeat domain 34
140625	ACTRT2	ENSG00000169717	actin related protein T2
440556	PRDM16-DT	ENSG00000177133	PRDM16 divergent transcript
63976	PRDM16	ENSG00000142611	PR/SET domain 16
100422968	MIR4251	ENSG00000283572	microRNA 4251
27237	ARHGEF16	ENSG00000130762	Rho guanine nucleotide exchange factor 16
1953	MEGF6	ENSG00000162591	multiple EGF like domains 6
693135	MIR551A	ENSG00000207776	microRNA 551a
127262	TPRG1L	ENSG00000158109	tumor protein p63 regulated 1 like
49856	WRAP73	ENSG00000116213	WD repeat containing, antisense to TP73
7161	TP73	ENSG00000078900	tumor protein p73
57212	GFOD3P	ENSG00000227372	Gfo/Idh/MocA-like oxidoreductase domain containing 3, pseudogene
148870	CCDC27	ENSG00000162592	coiled-coil domain containing 27
388588	SMIM1	ENSG00000235169	small integral membrane protein 1 (Vel blood group)
57470	LRRC47	ENSG00000130764	leucine rich repeat containing 47
9731	CEP104	ENSG00000116198	centrosomal protein 104
1677	DFFB	ENSG00000169598	DNA fragmentation factor subunit beta
339448	C1orf174	ENSG00000198912	chromosome 1 open reading frame 174
100133612	LINC01134	ENSG00000236423	long intergenic non-protein coding RNA 1134
728716	LINC01346	NA	long intergenic non-protein coding RNA 1346
284661	LINC01777	ENSG00000235054	long intergenic non-protein coding RNA 1777
55966	AJAP1	ENSG00000196581	adherens junctions associated protein 1
100616489	NA	NA	NA
100616421	MIR4689	ENSG00000264101	microRNA 4689
261734	NPHP4	ENSG00000131697	nephrocystin 4
8514	KCNAB2	ENSG00000069424	potassium voltage-gated channel subfamily A regulatory beta subunit 2
26038	CHD5	ENSG00000116254	chromodomain helicase DNA binding protein 5
6146	RPL22	ENSG00000116251	ribosomal protein L22
102724450	RNF207-AS1	ENSG00000226944	RNF207 antisense RNA 1
388591	RNF207	ENSG00000158286	ring finger protein 207
23463	ICMT	ENSG00000116237	isoprenylcysteine carboxyl methyltransferase
148645	ICMT-DT	NA	ICMT divergent transcript
390992	HES3	ENSG00000173673	hes family bHLH transcription factor 3
387509	GPR153	ENSG00000158292	G protein-coupled receptor 153
11332	ACOT7	ENSG00000097021	acyl-CoA thioesterase 7
54626	HES2	ENSG00000069812	hes family bHLH transcription factor 2
83715	ESPN	ENSG00000187017	espin
100422975	MIR4252	ENSG00000265392	microRNA 4252
8718	TNFRSF25	ENSG00000215788	TNF receptor superfamily member 25
57449	PLEKHG5	ENSG00000171680	pleckstrin homology and RhoGEF domain containing G5
79707	NOL9	ENSG00000162408	nucleolar protein 9
80835	TAS1R1	ENSG00000173662	taste 1 receptor member 1
3104	ZBTB48	ENSG00000204859	zinc finger and BTB domain containing 48
9903	KLHL21	ENSG00000162413	kelch like family member 21
148479	PHF13	ENSG00000116273	PHD finger protein 13
90326	THAP3	ENSG00000041988	THAP domain containing 3
55735	DNAJC11	ENSG00000007923	DnaJ heat shock protein family (Hsp40) member C11
100505887	LINC01672	NA	long intergenic non-protein coding RNA 1672
23261	CAMTA1	ENSG00000171735	calmodulin binding transcription activator 1
9341	VAMP3	ENSG00000049245	vesicle associated membrane protein 3
8863	PER3	ENSG00000049246	period circadian regulator 3
10911	UTS2	ENSG00000049247	urotensin 2
3604	TNFRSF9	ENSG00000049249	TNF receptor superfamily member 9
11315	PARK7	ENSG00000116288	Parkinsonism associated deglycase
54206	ERRFI1	ENSG00000116285	ERBB receptor feedback inhibitor 1
102724539	LINC01714	ENSG00000227634	long intergenic non-protein coding RNA 1714
50651	SLC45A1	ENSG00000162426	solute carrier family 45 member 1
473	RERE	ENSG00000142599	arginine-glutamic acid dipeptide repeats
102724552	RERE-AS1	NA	RERE antisense RNA 1
2023	ENO1	ENSG00000074800	enolase 1
102465436	MIR6728	ENSG00000274258	microRNA 6728
100505975	ENO1-AS1	ENSG00000230679	ENO1 antisense RNA 1
765	CA6	ENSG00000131686	carbonic anhydrase 6
155184	SLC2A7	ENSG00000197241	solute carrier family 2 member 7
6518	SLC2A5	ENSG00000142583	solute carrier family 2 member 5
80045	GPR157	ENSG00000180758	G protein-coupled receptor 157
407040	MIR34A	ENSG00000284357	microRNA 34a
9563	H6PD	ENSG00000049239	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
80176	SPSB1	ENSG00000171621	splA/ryanodine receptor domain and SOCS box containing 1
100506022	LINC02606	ENSG00000284693	long intergenic non-protein coding RNA 2606
84275	SLC25A33	ENSG00000171612	solute carrier family 25 member 33
199953	TMEM201	ENSG00000188807	transmembrane protein 201
5293	PIK3CD	ENSG00000171608	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
644997	PIK3CD-AS1	ENSG00000179840	PIK3CD antisense RNA 1
101929074	PIK3CD-AS2	ENSG00000231789	PIK3CD antisense RNA 2
22883	CLSTN1	ENSG00000171603	calsyntenin 1
56998	CTNNBIP1	ENSG00000178585	catenin beta interacting protein 1
84328	LZIC	ENSG00000162441	leucine zipper and CTNNBIP1 domain containing
64802	NMNAT1	ENSG00000173614	nicotinamide nucleotide adenylyltransferase 1
100847055	MIR5697	ENSG00000265521	microRNA 5697
105376719	NA	NA	NA
116362	RBP7	ENSG00000162444	retinol binding protein 7
10277	UBE4B	ENSG00000130939	ubiquitination factor E4B
23095	KIF1B	ENSG00000054523	kinesin family member 1B
100422970	NA	NA	NA
5226	PGD	ENSG00000142657	phosphogluconate dehydrogenase
100526739	CENPS-CORT	ENSG00000251503	CENPS-CORT readthrough
378708	CENPS	ENSG00000175279	centromere protein S
1325	CORT	ENSG00000241563	cortistatin
1676	DFFA	ENSG00000160049	DNA fragmentation factor subunit alpha
5195	PEX14	ENSG00000142655	peroxisomal biogenesis factor 14
54897	CASZ1	ENSG00000130940	castor zinc finger 1
148345	C1orf127	ENSG00000175262	chromosome 1 open reading frame 127
23435	TARDBP	ENSG00000120948	TAR DNA binding protein
10747	MASP2	ENSG00000009724	MBL associated serine protease 2
6723	SRM	ENSG00000116649	spermidine synthase
5394	EXOSC10	ENSG00000171824	exosome component 10
2475	MTOR	ENSG00000198793	mechanistic target of rapamycin kinase
100873935	MTOR-AS1	ENSG00000225602	MTOR antisense RNA 1
10218	ANGPTL7	ENSG00000171819	angiopoietin like 7
29914	UBIAD1	ENSG00000120942	UbiA prenyltransferase domain containing 1
57540	DISP3	ENSG00000204624	dispatched RND transporter family member 3
101929181	LINC01647	ENSG00000235643	long intergenic non-protein coding RNA 1647
26232	FBXO2	ENSG00000116661	F-box protein 2
93611	FBXO44	ENSG00000132879	F-box protein 44
26270	FBXO6	ENSG00000116663	F-box protein 6
10459	MAD2L2	ENSG00000116670	mitotic arrest deficient 2 like 2
374946	DRAXIN	ENSG00000162490	dorsal inhibitory axon guidance protein
57085	AGTRAP	ENSG00000177674	angiotensin II receptor associated protein
284498	C1orf167	ENSG00000215910	chromosome 1 open reading frame 167
102724659	C1orf167-AS1	ENSG00000177553	C1orf167 antisense RNA 1
4524	MTHFR	ENSG00000177000	methylenetetrahydrofolate reductase
1185	CLCN6	ENSG00000011021	chloride voltage-gated channel 6
100379251	NPPA-AS1	NA	NPPA antisense RNA 1
4878	NPPA	ENSG00000175206	natriuretic peptide A
4879	NPPB	ENSG00000120937	natriuretic peptide B
26829	RNU5E-1	ENSG00000199347	RNA, U5E small nuclear 1
90231	KIAA2013	ENSG00000116685	KIAA2013
5351	PLOD1	ENSG00000083444	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
9927	MFN2	ENSG00000116688	mitofusin 2
60672	MIIP	ENSG00000116691	migration and invasion inhibitory protein
102466982	MIR6729	ENSG00000276869	microRNA 6729
943	TNFRSF8	ENSG00000120949	TNF receptor superfamily member 8
102465836	MIR7846	ENSG00000283789	microRNA 7846
7133	TNFRSF1B	ENSG00000028137	TNF receptor superfamily member 1B
100616438	MIR4632	ENSG00000263676	microRNA 4632
55187	VPS13D	ENSG00000048707	vacuolar protein sorting 13 homolog D
677885	SNORA59A	ENSG00000239149	small nucleolar RNA, H/ACA box 59A
9249	DHRS3	ENSG00000162496	dehydrogenase/reductase 3
102466722	MIR6730	ENSG00000276830	microRNA 6730
343066	AADACL4	ENSG00000204518	arylacetamide deacetylase like 4
126767	AADACL3	ENSG00000188984	arylacetamide deacetylase like 3
93190	CFAP107	ENSG00000157330	cilia and flagella associated protein 107
390999	PRAMEF12	ENSG00000116726	PRAME family member 12
65121	PRAMEF1	ENSG00000116721	PRAME family member 1
440560	PRAMEF11	ENSG00000239810	PRAME family member 11
440560	PRAMEF11	ENSG00000281934	PRAME family member 11
343069	HNRNPCL1	ENSG00000179172	heterogeneous nuclear ribonucleoprotein C like 1
343069	HNRNPCL1	ENSG00000282175	heterogeneous nuclear ribonucleoprotein C like 1
65122	PRAMEF2	ENSG00000120952	PRAME family member 2
65122	PRAMEF2	ENSG00000282817	PRAME family member 2
400735	PRAMEF4	ENSG00000243073	PRAME family member 4
400735	PRAMEF4	ENSG00000282584	PRAME family member 4
343071	PRAMEF10	ENSG00000187545	PRAME family member 10
343071	PRAMEF10	ENSG00000282663	PRAME family member 10
441871	PRAMEF7	ENSG00000204510	PRAME family member 7
441871	PRAMEF7	ENSG00000279195	PRAME family member 7
440561	PRAMEF6	ENSG00000232423	PRAME family member 6
440561	PRAMEF6	ENSG00000282119	PRAME family member 6
653606	PRAMEF22	NA	PRAME family member 22
102724742	PRAMEF28P	ENSG00000274178	PRAME family member 28, pseudogene
101929983	PRAMEF27	ENSG00000274764	PRAME family member 27
101929983	PRAMEF27	ENSG00000282437	PRAME family member 27
101929983	PRAMEF27	ENSG00000283425	PRAME family member 27
649330	HNRNPCL3	ENSG00000277058	heterogeneous nuclear ribonucleoprotein C like 3
649330	HNRNPCL3	ENSG00000282559	heterogeneous nuclear ribonucleoprotein C like 3
649330	HNRNPCL3	ENSG00000283292	heterogeneous nuclear ribonucleoprotein C like 3
441873	PRAMEF25	ENSG00000229571	PRAME family member 25
441873	PRAMEF25	ENSG00000282566	PRAME family member 25
441873	PRAMEF25	ENSG00000276299	PRAME family member 25
441873	PRAMEF25	ENSG00000283348	PRAME family member 25
649324	PRAMEF34P	NA	PRAME family member 34, pseudogene
440563	HNRNPCL2	ENSG00000275774	heterogeneous nuclear ribonucleoprotein C like 2
440563	HNRNPCL2	ENSG00000282530	heterogeneous nuclear ribonucleoprotein C like 2
440563	HNRNPCL2	ENSG00000274109	heterogeneous nuclear ribonucleoprotein C like 2
440563	HNRNPCL2	ENSG00000283370	heterogeneous nuclear ribonucleoprotein C like 2
645354	PRAMEF36P	NA	PRAME family member 36, pseudogene
645359	PRAMEF26	ENSG00000280267	PRAME family member 26
645359	PRAMEF26	ENSG00000282566	PRAME family member 26
645359	PRAMEF26	ENSG00000281987	PRAME family member 26
645359	PRAMEF26	ENSG00000276299	PRAME family member 26
645359	PRAMEF26	ENSG00000283348	PRAME family member 26
645359	PRAMEF26	ENSG00000283216	PRAME family member 26
645359	PRAMEF26	ENSG00000229571	PRAME family member 26
101060301	HNRNPCL4	ENSG00000179412	heterogeneous nuclear ribonucleoprotein C like 4
101060301	HNRNPCL4	ENSG00000282095	heterogeneous nuclear ribonucleoprotein C like 4
101060301	HNRNPCL4	ENSG00000273865	heterogeneous nuclear ribonucleoprotein C like 4
101060301	HNRNPCL4	ENSG00000283231	heterogeneous nuclear ribonucleoprotein C like 4
343070	PRAMEF9	ENSG00000204505	PRAME family member 9
343070	PRAMEF9	ENSG00000282298	PRAME family member 9
343070	PRAMEF9	ENSG00000281573	PRAME family member 9
343070	PRAMEF9	ENSG00000283139	PRAME family member 9
400736	PRAMEF13	ENSG00000279169	PRAME family member 13
400736	PRAMEF13	ENSG00000282741	PRAME family member 13
391003	PRAMEF18	ENSG00000279804	PRAME family member 18
391003	PRAMEF18	ENSG00000282212	PRAME family member 18
391003	PRAMEF18	ENSG00000277853	PRAME family member 18
343068	PRAMEF5	ENSG00000270601	PRAME family member 5
343068	PRAMEF5	ENSG00000282424	PRAME family member 5
343068	PRAMEF5	ENSG00000276420	PRAME family member 5
343068	PRAMEF5	ENSG00000283150	PRAME family member 5
391002	PRAMEF8	ENSG00000182330	PRAME family member 8
391002	PRAMEF8	ENSG00000282583	PRAME family member 8
391002	PRAMEF8	ENSG00000278021	PRAME family member 8
391002	PRAMEF8	ENSG00000283387	PRAME family member 8
645382	PRAMEF33	ENSG00000237700	PRAME family member 33
645382	PRAMEF33	ENSG00000282125	PRAME family member 33
645382	PRAMEF33	ENSG00000276370	PRAME family member 33
645382	PRAMEF33	ENSG00000283488	PRAME family member 33
653619	PRAMEF15	ENSG00000204501	PRAME family member 15
729528	PRAMEF14	ENSG00000204481	PRAME family member 14
645414	PRAMEF19	ENSG00000204480	PRAME family member 19
391004	PRAMEF17	ENSG00000204479	PRAME family member 17
645425	PRAMEF20	ENSG00000204478	PRAME family member 20
126755	LRRC38	ENSG00000162494	leucine rich repeat containing 38
10630	PDPN	ENSG00000162493	podoplanin
7799	PRDM2	ENSG00000116731	PR/SET domain 2
23254	KAZN	ENSG00000189337	kazrin, periplakin interacting protein
200197	TMEM51-AS1	ENSG00000175147	TMEM51 antisense RNA 1
55092	TMEM51	ENSG00000171729	transmembrane protein 51
727684	TMEM51-AS2	ENSG00000204464	TMEM51 antisense RNA 2
114827	FHAD1	ENSG00000142621	forkhead associated phosphopeptide binding domain 1
101927417	FHAD1-AS1	ENSG00000233485	FHAD1 antisense RNA 1
79180	EFHD2	ENSG00000142634	EF-hand domain family member D2
11330	CTRC	ENSG00000162438	chymotrypsin C
63036	CELA2A	ENSG00000142615	chymotrypsin like elastase 2A
51032	CELA2B	ENSG00000215704	chymotrypsin like elastase 2B
842	CASP9	ENSG00000132906	caspase 9
23341	DNAJC16	ENSG00000116138	DnaJ heat shock protein family (Hsp40) member C16
79814	AGMAT	ENSG00000116771	agmatinase
84301	DDI2	ENSG00000197312	DNA damage inducible 1 homolog 2
6248	RSC1A1	ENSG00000215695	regulator of solute carriers 1
23207	PLEKHM2	ENSG00000116786	pleckstrin homology and RUN domain containing M2
284723	SLC25A34	ENSG00000162461	solute carrier family 25 member 34
388595	TMEM82	ENSG00000162460	transmembrane protein 82
54751	FBLIM1	ENSG00000162458	filamin binding LIM protein 1
440567	UQCRHL	ENSG00000233954	ubiquinol-cytochrome c reductase hinge protein like
729614	SPEN-AS1	ENSG00000179743	SPEN antisense RNA 1
23013	SPEN	ENSG00000065526	spen family transcriptional repressor
7709	ZBTB17	ENSG00000116809	zinc finger and BTB domain containing 17
101928566	TBC1D3P6	NA	TBC1 domain family member 3 pseudogene 6
149563	SRARP	ENSG00000183888	steroid receptor associated and regulated protein
27129	HSPB7	ENSG00000173641	heat shock protein family B (small) member 7
1187	CLCNKA	ENSG00000186510	chloride voltage-gated channel Ka
1188	CLCNKB	ENSG00000184908	chloride voltage-gated channel Kb
348487	FAM131C	ENSG00000185519	family with sequence similarity 131 member C
1969	EPHA2	ENSG00000142627	EPH receptor A2
128272	ARHGEF19	ENSG00000142632	Rho guanine nucleotide exchange factor 19
128272	ARHGEF19	ENSG00000291381	Rho guanine nucleotide exchange factor 19
101927546	ANO7L1	NA	anoctamin 7 like 1 (pseudogene)
79363	CPLANE2	ENSG00000132881	ciliogenesis and planar polarity effector complex subunit 2
79363	CPLANE2	ENSG00000291382	ciliogenesis and planar polarity effector complex subunit 2
54455	FBXO42	ENSG00000037637	F-box protein 42
54455	FBXO42	ENSG00000291375	F-box protein 42
26099	SZRD1	ENSG00000055070	SUZ RNA binding domain containing 1
26099	SZRD1	ENSG00000291379	SUZ RNA binding domain containing 1
374955	SPATA21	ENSG00000187144	spermatogenesis associated 21
374955	SPATA21	ENSG00000291401	spermatogenesis associated 21
55707	NECAP2	ENSG00000157191	NECAP endocytosis associated 2
55707	NECAP2	ENSG00000291380	NECAP endocytosis associated 2
114819	CROCCP3	ENSG00000290842	CROCC pseudogene 3
114819	CROCCP3	ENSG00000291402	CROCC pseudogene 3
114819	CROCCP3	ENSG00000080947	CROCC pseudogene 3
26871	RNU1-1	ENSG00000206652	RNA, U1 small nuclear 1
26871	RNU1-1	ENSG00000291389	RNA, U1 small nuclear 1
100126512	NA	NA	NA
100126517	NA	NA	NA
102724970	NA	NA	NA
100133301	NA	NA	NA
7195	TRG-CCC1-1	NA	tRNA-Gly (anticodon CCC) 1-1
55672	NBPF1	ENSG00000219481	NBPF member 1
55672	NBPF1	ENSG00000292225	NBPF member 1
84809	CROCCP2	ENSG00000291072	CROCC pseudogene 2
11209	MST1P2	NA	macrophage stimulating 1 pseudogene 2
26869	RNU1-3	ENSG00000207513	RNA, U1 small nuclear 3
26869	RNU1-3	ENSG00000291396	RNA, U1 small nuclear 3
729574	NA	NA	NA
100126533	NA	NA	NA
284729	ESPNP	NA	espin pseudogene
100189045	TRG-CCC5-1	NA	tRNA-Gly (CCC) 5-1
102723383	NA	NA	NA
6060	RNU1-4	ENSG00000207389	RNA, U1 small nuclear 4
6060	RNU1-4	ENSG00000291399	RNA, U1 small nuclear 4
11223	MST1L	ENSG00000186715	macrophage stimulating 1 like (pseudogene)
100500876	MIR3675	ENSG00000263811	microRNA 3675
100189298	TRG-CCC1-2	NA	tRNA-Gly (anticodon CCC) 1-2
7193	TRE-TTC3-1	NA	tRNA-Glu (anticodon TTC) 3-1
791226	TRN-GTT4-1	NA	tRNA-Asn (anticodon GTT) 4-1
9696	CROCC	ENSG00000058453	ciliary rootlet coiled-coil, rootletin
26870	RNU1-2	ENSG00000207005	RNA, U1 small nuclear 2
26870	RNU1-2	ENSG00000291385	RNA, U1 small nuclear 2
4237	MFAP2	ENSG00000117122	microfibril associated protein 2
23400	ATP13A2	ENSG00000159363	ATPase cation transporting 13A2
6390	SDHB	ENSG00000117118	succinate dehydrogenase complex iron sulfur subunit B
11240	PADI2	ENSG00000117115	peptidyl arginine deiminase 2
11240	PADI2	ENSG00000291387	peptidyl arginine deiminase 2
29943	PADI1	ENSG00000142623	peptidyl arginine deiminase 1
29943	PADI1	ENSG00000281459	peptidyl arginine deiminase 1
51702	PADI3	ENSG00000142619	peptidyl arginine deiminase 3
51702	PADI3	ENSG00000280549	peptidyl arginine deiminase 3
100616188	MIR3972	ENSG00000266634	microRNA 3972
100616188	MIR3972	ENSG00000281810	microRNA 3972
23569	PADI4	ENSG00000159339	peptidyl arginine deiminase 4
23569	PADI4	ENSG00000280908	peptidyl arginine deiminase 4
353238	PADI6	ENSG00000276747	peptidyl arginine deiminase 6
353238	PADI6	ENSG00000280949	peptidyl arginine deiminase 6
55920	RCC2	ENSG00000179051	regulator of chromosome condensation 2
55920	RCC2	ENSG00000281540	regulator of chromosome condensation 2
55160	ARHGEF10L	ENSG00000074964	Rho guanine nucleotide exchange factor 10 like
81569	ACTL8	ENSG00000117148	actin like 8
101927876	LINC01654	ENSG00000261781	long intergenic non-protein coding RNA 1654
84966	IGSF21	ENSG00000117154	immunoglobin superfamily member 21
127707	KLHDC7A	ENSG00000179023	kelch domain containing 7A
5081	PAX7	ENSG00000009709	paired box 7
80834	TAS1R2	ENSG00000179002	taste 1 receptor member 2
8659	ALDH4A1	ENSG00000159423	aldehyde dehydrogenase 4 family member A1
100616120	MIR4695	ENSG00000265606	microRNA 4695
100302276	MIR1290	ENSG00000221662	microRNA 1290
126917	IFFO2	ENSG00000169991	intermediate filament family orphan 2
23352	UBR4	ENSG00000127481	ubiquitin protein ligase E3 component n-recognin 4
23065	EMC1	ENSG00000127463	ER membrane protein complex subunit 1
51154	MRTO4	ENSG00000053372	MRT4 homolog, ribosome maturation factor
246181	AKR7L	ENSG00000211454	aldo-keto reductase family 7 like (gene/pseudogene)
22977	AKR7A3	ENSG00000162482	aldo-keto reductase family 7 member A3
100506730	LOC100506730	NA	uncharacterized LOC100506730
8574	AKR7A2	ENSG00000053371	aldo-keto reductase family 7 member A2
54896	SLC66A1	ENSG00000040487	solute carrier family 66 member 1
832	CAPZB	ENSG00000077549	capping actin protein of muscle Z-line subunit beta
100532736	MICOS10-NBL1	ENSG00000158747	MICOS10-NBL1 readthrough
440574	MICOS10	ENSG00000173436	mitochondrial contact site and cristae organizing system subunit 10
644068	RPS14P3	NA	ribosomal protein S14 pseudogene 3
4681	NBL1	ENSG00000158747	NBL1, DAN family BMP antagonist
3362	HTR6	ENSG00000158748	5-hydroxytryptamine receptor 6
255104	TMCO4	ENSG00000162542	transmembrane and coiled-coil domains 4
54546	RNF186	ENSG00000178828	ring finger protein 186
23252	OTUD3	ENSG00000169914	OTU deubiquitinase 3
